ACCNTNUM,LOCNUM,LATITUDE,LONGITUDE,POSTCODE,ADDRMATCH,STATE,STATECODE,COUNTY,COUNTYCODE,CITY,CITYCODE,COUNTRY,CNTRYSCHEME,CNTRYCODE,BLDGSCHEME,BLDGCLASS,OCCSCHEME,OCCTYPE,NUMBLDGS,EQCV1VAL,EQCV1VCUR,EQCV1DED,EQCV1DCUR,EQCV1LIMIT,EQCV1LCUR,EQCV2VAL,EQCV2VCUR,EQCV2DED,EQCV2DCUR,EQCV2LIMIT,EQCV2LCUR,EQSITELIM,EQSITELCUR,EQSITEDED,EQSITEDCUR,EQCOMBINEDLIM,EQCOMBINEDLCUR,EQCOMBINEDDED,EQCOMBINEDDCUR,COND1TYPE,COND1NAME,COND1LIMIT,COND1DEDUCTIBLE
AEEQ_FlatCB_ForMZ,3,25.4052,55.5136,XXX,0,0,0,0,0,AJMAN,,AE,0,AE,RMS,1,ATC,3,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
AEEQ_FlatRB_ForMZ,3,25.4052,55.5136,XXX,0,0,0,0,0,AJMAN,,AE,0,AE,RMS,1A,ATC,22,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM,3,25.4052,55.5136,XXX,0,0,0,0,0,AJMAN,,AE,0,AE,RMS,1A,ATC,5,1,3550478276,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM,10,25.4052,55.5136,XXX,0,0,0,0,0,AJMAN,,AE,0,AE,RMS,1A,ATC,5,1,0,USD,0,USD,,USD,5325717415,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM_restofUAE,3,25.4052,55.5136,XXX,0,0,0,0,0,AJMAN,,AE,0,AE,RMS,1A,ATC,5,1,3550478276,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM_restofUAE,10,25.4052,55.5136,XXX,0,0,0,0,0,AJMAN,,AE,0,AE,RMS,1A,ATC,5,1,0,USD,0,USD,,USD,5325717415,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES,3,25.4052,55.5136,XXX,0,0,0,0,0,AJMAN,,AE,0,AE,RMS,1A,ATC,22,1,5325717415,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES,10,25.4052,55.5136,XXX,0,0,0,0,0,AJMAN,,AE,0,AE,RMS,1A,ATC,22,1,0,USD,0,USD,,USD,3550478276,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES_restofUAE,3,25.4052,55.5136,XXX,0,0,0,0,0,AJMAN,,AE,0,AE,RMS,1A,ATC,22,1,5325717415,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES_restofUAE,10,25.4052,55.5136,XXX,0,0,0,0,0,AJMAN,,AE,0,AE,RMS,1A,ATC,22,1,0,USD,0,USD,,USD,3550478276,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
SAEQ_Madinah_flat_com__noYB,1,24.5247,39.5692,XXX,0,0,0,0,0,AL MADINAH AL MONAWARAH,,SA,0,SA,RMS,1A,ATC,5,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
SAEQ_Madinah_flat_res__noYB,1,24.5247,39.5692,XXX,0,0,0,0,0,AL MADINAH AL MONAWARAH,,SA,0,SA,RMS,1A,ATC,22,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
AEEQ_Dubai_flat_com__noYB_f_bui,1,25.2048,55.2708,XXX,0,0,0,0,0,DUBAI,,AE,0,AE,RMS,1A,ATC,5,1,40000000,USD,0.01,USD,,USD,60000000,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
AEEQ_Dubai_flat_res__noYB_f_bui,1,25.2048,55.2708,XXX,0,0,0,0,0,DUBAI,,AE,0,AE,RMS,1A,ATC,22,1,60000000,USD,0.01,USD,,USD,40000000,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
AEEQ_FlatCB_ForMZ,1,25.2048,55.2708,XXX,0,0,0,0,0,DUBAI,,AE,0,AE,RMS,1,ATC,3,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
AEEQ_FlatRB_ForMZ,1,25.2048,55.2708,XXX,0,0,0,0,0,DUBAI,,AE,0,AE,RMS,1A,ATC,22,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM,1,25.2048,55.2708,XXX,0,0,0,0,0,DUBAI,,AE,0,AE,RMS,1A,ATC,5,1,96154784659,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM,8,25.2048,55.2708,XXX,0,0,0,0,0,DUBAI,,AE,0,AE,RMS,1A,ATC,5,1,0,USD,0,USD,,USD,1.44E+11,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES,1,25.2048,55.2708,XXX,0,0,0,0,0,DUBAI,,AE,0,AE,RMS,1A,ATC,22,1,1.44E+11,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES,8,25.2048,55.2708,XXX,0,0,0,0,0,DUBAI,,AE,0,AE,RMS,1A,ATC,22,1,0,USD,0,USD,,USD,96154784659,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_DubaiCB,1,25.2048,55.2708,XXX,0,0,0,0,0,DUBAI,,AE,0,AE,RMS,1A,ATC,5,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_DubaiRB,1,25.2048,55.2708,XXX,0,0,0,0,0,DUBAI,,AE,0,AE,RMS,1A,ATC,22,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
AEEQ_FlatCB_ForMZ,4,25.4111,56.2482,XXX,0,0,0,0,0,FUJAIRAH,,AE,0,AE,RMS,1,ATC,3,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
AEEQ_FlatRB_ForMZ,4,25.4111,56.2482,XXX,0,0,0,0,0,FUJAIRAH,,AE,0,AE,RMS,1A,ATC,22,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM,4,25.4111,56.2482,XXX,0,0,0,0,0,FUJAIRAH,,AE,0,AE,RMS,1A,ATC,5,1,7362691241,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM,11,25.4111,56.2482,XXX,0,0,0,0,0,FUJAIRAH,,AE,0,AE,RMS,1A,ATC,5,1,0,USD,0,USD,,USD,11044036861,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM_restofUAE,4,25.4111,56.2482,XXX,0,0,0,0,0,FUJAIRAH,,AE,0,AE,RMS,1A,ATC,5,1,7362691241,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM_restofUAE,11,25.4111,56.2482,XXX,0,0,0,0,0,FUJAIRAH,,AE,0,AE,RMS,1A,ATC,5,1,0,USD,0,USD,,USD,11044036861,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES,4,25.4111,56.2482,XXX,0,0,0,0,0,FUJAIRAH,,AE,0,AE,RMS,1A,ATC,22,1,11044036861,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES,11,25.4111,56.2482,XXX,0,0,0,0,0,FUJAIRAH,,AE,0,AE,RMS,1A,ATC,22,1,0,USD,0,USD,,USD,7362691241,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES_restofUAE,4,25.4111,56.2482,XXX,0,0,0,0,0,FUJAIRAH,,AE,0,AE,RMS,1A,ATC,22,1,11044036861,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES_restofUAE,11,25.4111,56.2482,XXX,0,0,0,0,0,FUJAIRAH,,AE,0,AE,RMS,1A,ATC,22,1,0,USD,0,USD,,USD,7362691241,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
SAEQ_Jiddah_flat_com__noYB,1,21.2854,39.2376,XXX,0,0,0,0,0,JIDDAH,,SA,0,SA,RMS,1A,ATC,5,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
SAEQ_Jiddah_flat_res__noYB,1,21.2854,39.2376,XXX,0,0,0,0,0,JIDDAH,,SA,0,SA,RMS,1A,ATC,22,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
SAEQ_Makkah_flat_com__noYB,1,21.426667,39.825833,XXX,0,0,0,0,0,MAKKAH AL MOKARRAMAH,,SA,0,SA,RMS,1A,ATC,5,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
SAEQ_Makkah_flat_res__noYB,1,21.426667,39.825833,XXX,0,0,0,0,0,MAKKAH AL MOKARRAMAH,,SA,0,SA,RMS,1A,ATC,22,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
AEEQ_FlatCB_ForMZ,5,25.8007,55.9762,XXX,0,0,0,0,0,RAS AL-KHAIMAH,,AE,0,AE,RMS,1,ATC,3,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
AEEQ_FlatRB_ForMZ,5,25.8007,55.9762,XXX,0,0,0,0,0,RAS AL-KHAIMAH,,AE,0,AE,RMS,1A,ATC,22,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM,5,25.8007,55.9762,XXX,0,0,0,0,0,RAS AL-KHAIMAH,,AE,0,AE,RMS,1A,ATC,5,1,4199863907,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM,12,25.8007,55.9762,XXX,0,0,0,0,0,RAS AL-KHAIMAH,,AE,0,AE,RMS,1A,ATC,5,1,0,USD,0,USD,,USD,6299795860,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM_restofUAE,5,25.8007,55.9762,XXX,0,0,0,0,0,RAS AL-KHAIMAH,,AE,0,AE,RMS,1A,ATC,5,1,4199863907,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM_restofUAE,12,25.8007,55.9762,XXX,0,0,0,0,0,RAS AL-KHAIMAH,,AE,0,AE,RMS,1A,ATC,5,1,0,USD,0,USD,,USD,6299795860,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES,5,25.8007,55.9762,XXX,0,0,0,0,0,RAS AL-KHAIMAH,,AE,0,AE,RMS,1A,ATC,22,1,6299795860,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES,12,25.8007,55.9762,XXX,0,0,0,0,0,RAS AL-KHAIMAH,,AE,0,AE,RMS,1A,ATC,22,1,0,USD,0,USD,,USD,4199863907,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES_restofUAE,5,25.8007,55.9762,XXX,0,0,0,0,0,RAS AL-KHAIMAH,,AE,0,AE,RMS,1A,ATC,22,1,6299795860,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES_restofUAE,12,25.8007,55.9762,XXX,0,0,0,0,0,RAS AL-KHAIMAH,,AE,0,AE,RMS,1A,ATC,22,1,0,USD,0,USD,,USD,4199863907,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
SAEQ_Riadh_flat_com__noYB,1,26.0533,43.5415,XXX,0,0,0,0,0,RIADH ALKHABRA,,SA,0,SA,RMS,1A,ATC,5,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
SAEQ_Riadh_flat_res__noYB,1,26.0533,43.5415,XXX,0,0,0,0,0,RIADH ALKHABRA,,SA,0,SA,RMS,1A,ATC,22,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
AEEQ_FlatCB_ForMZ,6,25.3463,55.4209,XXX,0,0,0,0,0,SHARJAH,,AE,0,AE,RMS,1,ATC,3,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
AEEQ_FlatRB_ForMZ,6,25.3463,55.4209,XXX,0,0,0,0,0,SHARJAH,,AE,0,AE,RMS,1A,ATC,22,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM,6,25.3463,55.4209,XXX,0,0,0,0,0,SHARJAH,,AE,0,AE,RMS,1A,ATC,5,1,15626048301,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM,13,25.3463,55.4209,XXX,0,0,0,0,0,SHARJAH,,AE,0,AE,RMS,1A,ATC,5,1,0,USD,0,USD,,USD,23439072452,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM_restofUAE,6,25.3463,55.4209,XXX,0,0,0,0,0,SHARJAH,,AE,0,AE,RMS,1A,ATC,5,1,15626048301,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM_restofUAE,13,25.3463,55.4209,XXX,0,0,0,0,0,SHARJAH,,AE,0,AE,RMS,1A,ATC,5,1,0,USD,0,USD,,USD,23439072452,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES,6,25.3463,55.4209,XXX,0,0,0,0,0,SHARJAH,,AE,0,AE,RMS,1A,ATC,22,1,23439072452,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES,13,25.3463,55.4209,XXX,0,0,0,0,0,SHARJAH,,AE,0,AE,RMS,1A,ATC,22,1,0,USD,0,USD,,USD,15626048301,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES_restofUAE,6,25.3463,55.4209,XXX,0,0,0,0,0,SHARJAH,,AE,0,AE,RMS,1A,ATC,22,1,23439072452,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES_restofUAE,13,25.3463,55.4209,XXX,0,0,0,0,0,SHARJAH,,AE,0,AE,RMS,1A,ATC,22,1,0,USD,0,USD,,USD,15626048301,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
AEEQ_FlatCB_ForMZ,7,25.5205,55.7134,XXX,0,0,0,0,0,UMM AL-QUWAIN,,AE,0,AE,RMS,1,ATC,3,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
AEEQ_FlatRB_ForMZ,7,25.5205,55.7134,XXX,0,0,0,0,0,UMM AL-QUWAIN,,AE,0,AE,RMS,1A,ATC,22,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM,7,25.5205,55.7134,XXX,0,0,0,0,0,UMM AL-QUWAIN,,AE,0,AE,RMS,1A,ATC,5,1,1839496518,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM,14,25.5205,55.7134,XXX,0,0,0,0,0,UMM AL-QUWAIN,,AE,0,AE,RMS,1A,ATC,5,1,0,USD,0,USD,,USD,2759244777,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM_restofUAE,7,25.5205,55.7134,XXX,0,0,0,0,0,UMM AL-QUWAIN,,AE,0,AE,RMS,1A,ATC,5,1,1839496518,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM_restofUAE,14,25.5205,55.7134,XXX,0,0,0,0,0,UMM AL-QUWAIN,,AE,0,AE,RMS,1A,ATC,5,1,0,USD,0,USD,,USD,2759244777,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES,7,25.5205,55.7134,XXX,0,0,0,0,0,UMM AL-QUWAIN,,AE,0,AE,RMS,1A,ATC,22,1,2759244777,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES,14,25.5205,55.7134,XXX,0,0,0,0,0,UMM AL-QUWAIN,,AE,0,AE,RMS,1A,ATC,22,1,0,USD,0,USD,,USD,1839496518,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES_restofUAE,7,25.5205,55.7134,XXX,0,0,0,0,0,UMM AL-QUWAIN,,AE,0,AE,RMS,1A,ATC,22,1,2759244777,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES_restofUAE,14,25.5205,55.7134,XXX,0,0,0,0,0,UMM AL-QUWAIN,,AE,0,AE,RMS,1A,ATC,22,1,0,USD,0,USD,,USD,1839496518,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES_restofUAE,999,33.88894,35.49442,XXX,0,0,0,0,0,UMM AL-QUWAIN,,AE,0,AE,RMS,1A,ATC,22,1,999999999,USD,0,USD,,USD,1839496518,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
